Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,42,360,Tin(ll) fluoride (156.7 glmol) is often added to toothpaste as an ingredient to prevent tooth decay: What is the mass of fluoride in 24.6 g of tin(ll) fluoride?,C. 5.97,C. 5.97
2,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,30,5,"In the determination of sugar concentration in powdered juice dissolved in water, which of the following is the matrix?",D. B and C,D. B and C
3,Correct,No,Sure I'm Right,CT_Chemical_Safety,31,6,These materials ignite due to rapid oxidation by oxygen or moisture in the air.,B. Pyrophoric substances,B. Pyrophoric substances
4,Correct,No,Sure I'm Right,CT_Analytic_Chemistry,4,56,How would you prepare 500.0 mL of 0.2500 M NaOH solution from a concentration of 1.000 M?,A. Transfer 125mL of stock solution and dilute with solvent t0 500,A. Transfer 125mL of stock solution and dilute with solvent t0 500
5,Correct,No,Sure I'm Right,CT_Organic_Chemistry,42,3,Methanal is used as ?,C. Preservative,C. Preservative
6,Correct,No,Sure I'm Right,CT_Chemical_Safety,22,7,Common hazards posed by different chemicals in the laboratories can be found at ___.,D. All of the above,D. All of the above
7,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,15,9,Which group in the periodic table reacts with water at a slower rate to form basic hydroxide solutions?,B. Group 2,B. Group 2
8,Correct,No,Sure I'm Right,CT_Inorganic_Chemistry,27,3,Aqua regia is a/an,A. solution,A. solution
9,Correct,No,Confident,CT_Analytic_Chemistry,12,186,A 25.00 mL sample of 0.100 M acetic acid (CH₃COOH) is titrated with 0.100 M NaOH at 25°C. The acid has Ka=1.8×10−5. Determine the pH of the solution at each of the following points during the titration: What is the approximate pH after 12.50 mL of 0.100 M NaOH has been added?,A. 4.74,A. 4.74
10,Correct,No,Sure I'm Right,CT_Organic_Chemistry,47,11,Which of the following will have the highest boiling point?,D. Acetic acid (60 g/mol) },D. Acetic acid (60 g/mol) }
11,Correct,No,Sure I'm Right,CT_Organic_Chemistry,2,11,What is the hybridization of the central atom in NH3,A. sp3,A. sp3
12,Correct,No,Sure I'm Right,CT_Organic_Chemistry,43,5,The simplest ketone?,A. Acetone,A. Acetone
13,Correct,No,Sure I'm Right,CT_Chemical_Safety,20,31,Which of the following statements is/are true? I. Dry ashing is primarily for proximate composition and for some types of specific mineral analyses. II. Wet ashing is done as a preparation for the analysis of certain minerals III. Microwave systems are now available for both dry and wet ashing to speed the process,"D. I, II, and III","D. I, II, and III"
14,Correct,No,Sure I'm Right,CT_Chemical_Safety,26,14,This general type of reaction results in sudden rapid rise in temperature upon heating of the material that usually becomes violent,C. Runaway reaction,C. Runaway reaction
15,Correct,Yes,Guess,CT_Inorganic_Chemistry,10,187,What is the wavelength of light (nm) if it has a frequency of 600 THz?,B. 500,B. 500
