Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Correct,No,Guess,CT_PT_Laboratory_Instrumentation,40,91,The following are properties of an open tubular or capillary column EXCEPT,A. Poor resolution can be obtained.,A. Poor resolution can be obtained.
2,Incorrect,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,87,38,What is the typical precision of a semi-micro balance?,B. ±0.1 mg,C. ±0.01 mg
3,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,34,35,"Which statements are true about instrumental background signals? I. Even when no sample is being analyzed, the instrument generates a background signal. II. The instrument’s limit of detection improves when the signal-to-noise ratio increases. III. The instrument’s limit of detection is not affected by its signal-to-noise ratio.",B. I and II,B. I and II
4,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,27,19,Which bond typically produces a medium IR absorption at 3500–3200 cm⁻¹?,A. N–H,A. N–H
5,Incorrect,No,Confident,CT_PT_Laboratory_Instrumentation,53,30,Which IR absorption is expected to be broad rather than relatively sharp?,A. C≡N,C. O–H
6,Correct,No,Confident,CT_PT_Quality_Assurance_Control,46,24,A quality system is a combination of which three components?,"A. Quality Management, Quality Assurance, and Quality Control","A. Quality Management, Quality Assurance, and Quality Control"
7,Correct,No,Guess,CT_PT_Quality_Assurance_Control,56,21,Which blank is similar to a method blank but is not subjected to all sample preparation procedures?,A. Reagent blank,A. Reagent blank
8,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,43,13,"Which is NOT a possible set of quantum numbers (n, l, mₗ, mₛ)?","C. 3, 1, 2, -1/2","C. 3, 1, 2, -1/2"
9,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,49,6,Which group reacts with water at a slower rate to form basic hydroxide solutions?,B. Group 2,B. Group 2
10,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,14,15,An internal audit is conducted by,C. A member of the audited area,C. A member of the audited area
11,Incorrect,No,Slightly Confident,CT_PT_Laboratory_Instrumentation,89,55,Which wavelength selector is used when continuous variation of wavelength is required?,D. transducer,A. monochromator
12,Correct,No,Sure I'm Right,CT_PT_Laboratory_Instrumentation,23,20,Volumetric flasks are particularly useful for,B. preparing standard solutions,B. preparing standard solutions
13,Correct,No,Sure I'm Right,CT_PT_Analytical_Chemistry,23,53,What is [OH⁻] in a solution having pOH = 3.00?,C. 1.0 × 10⁻³ M,C. 1.0 × 10⁻³ M
14,Correct,No,Sure I'm Right,CT_PT_Quality_Assurance_Control,5,51,Quality Assurance is primarily intended to assure clients that laboratory-generated data are,B. Of good quality and compliant with applicable protocols and regulations,B. Of good quality and compliant with applicable protocols and regulations
15,Correct,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,52,12,What is the name of MgH₂?,D. Magnesium hydride,D. Magnesium hydride
16,Incorrect,No,Sure I'm Right,CT_PT_Inorganic_Chemistry,44,38,What are the smallest whole-number coefficients for the following reaction? Al + O₂ → Al₂O₃,"C. 2, 3, 2","D. 4, 3, 2"
