Number,Correct,Flagged,Confidence,SourceList,ReferenceNo,TimeSpentSec,Question,YourAnswer,CorrectAnswer
1,Incorrect,Yes,Guess,D2_L4_Momentum_Transfer,61,450,A sharp edged orifice meter is to be fabricated to measure water flowing at a rate not exceed 1200 cfh with a differential head of 30 inHg. What orifice diameter in inches is required if D2/D1 = 1/5,C. 2,A. 1.5
2,Incorrect,Yes,Guess,D2_L5_Transport_Phenomenon,60,48,By what percentage would the rate of absorption be increased or decreases by increasing the total pressure from 100 to 200 kPa in the following cases? The same conditions as (58) but the absorbing solution exerts a partial vapor pressure of ammonia of 5 kN/m².,B. 50%,C. 48%
3,Correct,No,Confident,D2_L3_Thermodynamics,112,115,"In vapor compression refrigeration system, if theevaporator temperature and the condenser temperaturesare -13°C and 37°C respectively, the Carnot COP will be",A. 5.2,A. 5.2
4,Incorrect,Yes,Guess,D2_L1_ChE_Calculations,48,34,"TiCl4, can be formed by reacting titaniumdioxide (TiO,) with hydrochloric acid. TiO₂is available as an ore containing 78 % TiO2and 22% inerts. The HCL is available as 45wt% solution (the balance is water). Theper pass conversion of TiO₂ is 75 %. TheHCl is fed into the reactor in 20% excessbased on the reaction. Pure unreacted TiO2 is recycled back to mix with the Ti02 feed. TiO2+ 4 HCL→ TiCl4 + 2H₂0 For 1 kg of TiCl4 produced, determine: The ratio of recycle stream to fresh TiO2 ore (in kg).",C. 2.05,A. 0.26
5,Incorrect,Yes,Guess,D2_L8_Equipment_Plant_Design,26,57,Normally; the ratio of the total riser area to the tower cross sectional area (for bubble cap towers of D>3 ft) is around,B. 0.35-0.75,C. 0.1-0.2
6,Correct,No,Sure I'm Right,D2_L2_Separation_Processes,50,21,Which of the following equipment is not used for liquid dispersion?,D. Agitated vessels,D. Agitated vessels
7,Correct,No,Confident,D2_L6_Particle_Technology,14,17,As particle size is reduced,A. screening becomes progressively more difficult,A. screening becomes progressively more difficult
8,Incorrect,Yes,Guess,D2_L4_Momentum_Transfer,16,24,"In a certain chemical plant, the carbonate solution used in the absorption tower is pumped continuously from the bottom of the lye storage tank through a standard 4 in. pipe and then through sprays head at the top of the scrubber. The depth of solution in the storage tank is 10 ft and the vertical distance from the spray head to the bottom of the tank is 110 ft. In a test on this equipment the following data were obtained: Rate of flow Density 200 gpm 68.9 lb/ft3 Friction drop from tank to spray head 15 ft-lb/lb Gage pressure on spray head Power input to pump Calculate the efficiency of the pump. 5 psi 14 hp",B. 75%,C. 50%
9,Incorrect,No,Slightly Confident,D2_L5_Transport_Phenomenon,43,471,A bare horizontal pipe of 50 mm outside diameter is placed in a room where the air temperature is 290 K. Saturated steam at 415 K flows through the pipe. Using emissivityof 0.9. Estimate the heat transfer coefficient due to convection from the pipe to the room.,B. 9.23 W/m²-°C,D. 8.5 W/m2-°C
10,Incorrect,No,Sure I'm Right,D2_L3_Thermodynamics,19,83,"During the working stroke of an engine the heattransferred out of the system was 150 kJ/kg of theworking substance. If the work done by the engine is 250kJ/kg, determine the change in internal energy.",A. 400 kJ,C. -400 kJ
11,Correct,No,Sure I'm Right,D2_L2_Separation_Processes,44,12,Radioactive nuclear waste is treated in,C. pulsed column extractor,C. pulsed column extractor
12,Correct,No,Sure I'm Right,D2_L7_Heat_Mass_Transfer,15,14,Viscous and heat sensitive liquidsare concentrated in evaporators.,B. agitated film,B. agitated film
13,Incorrect,Yes,Guess,D2_L9_Chemical_Reaction_Engineering,42,378,"For the reaction that can be written as A->B->C, the value ofk₁ is 5.65 x10-3 per min and the time necessary to reach themaximum concentration of B is 26 min. What is the value of k2?",A. 0.3459,C. 0.1246
14,Incorrect,Yes,Guess,D2_L1_ChE_Calculations,49,69,"Propane is dehydrogenated to formpropylene in a catalytic reactor. The process is to be designed for a 95% overall conversion of propane. Thereaction products are separated into twostreams: the first, which contains H₂, СзH6 and 0.555% of the propane that leaves thereactor, is taken off as a product; thesecond stream, which contains thebalance of the unreacted propane and 5%of the propylene in the first stream, is recycled to the reactor. Calculate the ratio of moles recycled / mole fresh feed",B. 6.8,D. 9.0
15,Correct,No,Sure I'm Right,D2_L2_Separation_Processes,4,12,Which of the following is the most commonly used leaching solvent in vegetableoil industry?,B. hexane,B. hexane
16,Correct,No,Sure I'm Right,D2_L1_ChE_Calculations,21,464,One hundred pounds of solution containing 80 wt% Na2SO must be obtained by evaporating a dilute solution using double effect evaporator. If the evaporator from the 2nd effect is 60% of that coming from the first effect and the concentrate of the first effect contains 1 lb Na₂SO per pound of water. Calculate for the composition of the feed.,D. 31% Na₂SO4,D. 31% Na₂SO4
17,Correct,Yes,Guess,D2_L8_Equipment_Plant_Design,56,31,A cylindrical storage tank can have a self-supported conical roof,A. if its diameter is less than 15-20 meters.,A. if its diameter is less than 15-20 meters.
